"region","hosp_832","hosp_835","hosp_844","hosp_846","hosp_847","hosp_848","hosp_851","hosp_853","hosp_2498","hosp_2499","hosp_2500","hosp_2502","hosp_2508","hosp_2511","hosp_2512","hosp_2514","hosp_2517","hosp_2536","hosp_4942","hosp_11","hosp_12","hosp_13","hosp_14","hosp_15","hosp_16","hosp_17","hosp_18","hosp_19","hosp_20","hosp_21","hosp_22","hosp_23","hosp_24","hosp_26","hosp_27","hosp_28","hosp_29","hosp_30","hosp_31","hosp_32","hosp_33","hosp_34","hosp_35","hosp_36","hosp_37","hosp_38","hosp_39","hosp_40","hosp_41","hosp_42","hosp_44","hosp_45","hosp_46","hosp_48","hosp_49","hosp_50","hosp_52","hosp_53","hosp_54","hosp_56","hosp_57","hosp_58","hosp_59","hosp_678"
"Arecibo",0.00603219586459911,0.0061573092998929,0.00269470691058159,0.00646662337357446,0.00304955701962076,0.0096249898396631,0.00360482339674775,0.00117753869240622,0.0029293325371003,0.000439727176388684,0.00116623750856984,0.00157178587709685,0.00733480843751424,0.00154108228377104,0.00309580246385865,0.00915658660492302,0.00704562976252299,0.00562952381470843,0.00365571569887659,0.141666230375605,0.0702730317685184,0.112309890736858,0.00494192405643616,0.0651501882401059,0.0147321927659525,0.101977043541318,0.0838664458455007,0.0106449165733891,0.00706392292651452,0.00355128690099869,0.00358613018446545,0.00545595449156092,0.00227558189772731,0.00549806697382101,0.000463657776096022,0.00730554433316504,0.00338683874905212,0.0260330175459817,0.0125243621550322,0.00864779268742477,0.00414098760705536,0.00473471826169781,0.0142768380470044,0.0186483916749268,0.00830233926939895,0.0116364486988393,0.0188632348969882,0.00464061359652557,0.00966465947775231,0.00766344253572693,0.0103124746589457,0.0133376689504367,0.00582103645588424,0.00408202121916601,0.00464114759655205,0.00369530341945555,0.00698842718169843,0.0202301594537291,0.016156210299015,0.0158983984325413,0.00561898806846065,0.0135081183938927,0.000683183621070187,0.00272719109529695
"Bayamón",0.0637615599776163,0.0418087072917453,0.019150089524214,0.0103584300402883,0.00519187088764198,0.0125417216361698,0.0109687150820391,0.000698446234183374,0.00223046893364019,0.000334185800692335,0.00132391637561475,0.00175650373477782,0.0205961014620353,0.0016053034835491,0.00322481319261632,0.00379415800719637,0.00297446711945181,0.000562974879353923,0.000622274712705249,0.0138391808774384,0.00184814703547881,0.00247776108351346,0.000156803577439595,0.00653272891744203,0.00124723981483657,0.00569532156099085,0.0108577759923055,0.000632901394902166,0.00041674422113039,0.000315858886275232,0.000311950842955381,0.000492938896862522,0.000202395014506459,0.000644988472123544,0.000506636327502862,0.00301586160034607,0.00143365256068606,0.157215143415141,0.0361697076293556,0.0310092809993421,0.00825439947145097,0.00488110720794159,0.0969410685555848,0.0378669092392842,0.0152610452130127,0.0243987593958011,0.0383031639540225,0.00942310183834721,0.0191486606755372,0.0141098222269577,0.0209402263074383,0.029178395450111,0.00999268770384097,0.00828883958002765,0.0125754047308563,0.00750358109349871,0.0152883605553298,0.037043567341555,0.0328063545483199,0.032282848890634,0.0111329422532193,0.0295512822929239,0.000333554493192406,0.00596618948500673
"Caguas",0.00433046615574515,0.00335756879674202,0.00134783146753526,0.133840146628467,0.0891255577236835,0.0169056330491346,0.0430164760235329,0.00160830603519107,0.00921556820156375,0.00149127411954883,0.00336270623639561,0.0041954489856472,0.0121078337574764,0.0388593838586424,0.0780626560700164,0.00271143027462943,0.00212877814466409,0.000482953274160721,0.000518075353184094,0.00368189600485209,0.000775575717455939,0.00104610060602149,9.23500267213955e-05,0.00161433548750264,0.00031573217556044,0.00231894153669187,0.00204479975329732,0.000387511151976218,0.000258239932508674,0.000261565047366691,0.000254979100609549,0.000407707712345324,0.000167604787633025,0.000560889390980599,0.00167001518869065,0.00221836885434607,0.00104610040970356,0.0162652550291345,0.0023266397602541,0.0514705808668621,0.0747736363886113,0.121322859855663,0.00778513204519303,0.0257616906800948,0.00764249635580018,0.0130885682611062,0.0260584843515245,0.00641074330288074,0.00901053963434872,0.00814105219329137,0.0142460962286239,0.0190020229491873,0.00760118056387238,0.00563907975716362,0.00558093002050764,0.00510485114859022,0.00995633151331218,0.0238328756449682,0.0223188840915107,0.0219627316857951,0.00523868583392369,0.0192448603031705,0.000537586830654822,0.00388539766373158
"Fajardo",0.00373137531272433,0.00354629588729295,0.00168303537691032,0.0137373000768336,0.0060307030194311,0.0550027344129745,0.00299005176787455,0.0636580575908043,0.307440527636892,0.0700591447928899,0.00113754541177052,0.00147334486553221,0.00977305011942544,0.00878190451368663,0.017641524996521,0.00172980315619861,0.00136023977501142,0.000441681152466273,0.000408668885453655,0.00461417368976874,0.00100090188780393,0.0013505725249455,9.22024668313145e-05,0.00201618627084656,0.000394895258327012,0.00259597115967247,0.00253732911990063,0.000513090470208597,0.000341752800777229,0.000254284528383605,0.000251971762547463,0.000393793773755164,0.000162939600711824,0.00048612658399353,0.000547891019029832,0.00146398029904638,0.000683407677360121,0.0165861078020233,0.00127130755444602,0.00384126522429305,0.00489979834556396,0.0283713407154862,0.00822273002438255,0.0312926883327624,0.012115838158853,0.017541529367802,0.0316532031753057,0.00778712059893628,0.0130082504502978,0.0130440145679004,0.0173047124420806,0.0206886738180701,0.0138429178302806,0.00684978200832357,0.00562656719078971,0.00620085529174553,0.0108400719046757,0.0370690245617796,0.0271107161592596,0.0266780983482076,0.00756293630831265,0.0209530658157451,0.0150786523952733,0.00423027196280027
"Mayagüez",0.00164409162265442,0.00152240024468563,0.000630042116790795,0.00369415579305904,0.00170119416648523,0.00419166916742957,0.00184206746999919,0.00117359347998333,0.00197946123652165,0.000297653796522402,0.00112833780211546,0.00152523067838455,0.00255934186812611,0.00104541506389279,0.00210008158852799,0.0105349967376087,0.00842624886897717,0.127184690727498,0.0171358639425566,0.0136934961418608,0.010487165263775,0.0149648982191143,0.00307397317723583,0.00528085020169004,0.00107863352185399,0.0302006511804932,0.00412403690098683,0.143731961556978,0.100011860841899,0.0667471362381545,0.0588555922175581,0.0832433743754868,0.0427700096283321,0.122371471670147,0.000453404390489788,0.0108569012863642,0.00476371761915906,0.0067468219765157,0.00272705202168359,0.00436067274903915,0.00278396066688678,0.00323279534058466,0.00352996100690844,0.00636186368648099,0.00283299999500771,0.00374976751548276,0.00643515704692431,0.00158313658557591,0.0031831823454259,0.00261768318868937,0.0035180813012798,0.00457839724712398,0.00211820947013611,0.00139257384842325,0.00148870293045362,0.00126064579962526,0.00239890462788604,0.0069928228774608,0.00551166070533837,0.00542370867280637,0.00185068741013133,0.0046369071160968,0.000721815161071484,0.000936157903565288
"Metro",0.00525962623782764,0.00377325282000814,0.00196067891952381,0.00816149902218811,0.00401324464355124,0.116664335624339,0.00135985634538844,0.000371163086408042,0.00330770648929453,0.000491793702701562,0.000347374180322739,0.000451729814405918,0.0371691862878963,0.00162063650853356,0.00325561493307185,0.000491987595124486,0.00038667203629836,0.000112701741842923,0.000107488913468407,0.00169222520651506,0.000312183320406715,0.000420255313390495,2.5223379827886e-05,0.000761379432843894,0.000147928326574883,0.000758243141367359,0.00105788639896184,0.000137420732417697,9.10730508933932e-05,6.49883647059235e-05,6.45137262698281e-05,0.000100846754408039,4.16430298115626e-05,0.000123187531644743,0.000150618400940877,0.00041161431536607,0.000192817647707101,0.0213761376443552,0.000457031726079463,0.00151887630195238,0.00209564889524646,0.0048232159532454,0.00874897082441448,0.0654442378025769,0.0392753184358092,0.0407270786107237,0.0661982036758784,0.016285662863314,0.0390200361729899,0.0328985352791541,0.0361903619184757,0.0418097330141375,0.0487413689946409,0.01432535159273,0.0224329593527389,0.0129682130207871,0.0219066971703469,0.0806641205911993,0.0566982336722786,0.0557934746243166,0.0226860675424359,0.0423440427012192,0.000160869649399573,0.00854895499330609
"Ponce",0.00249612617697302,0.00213155570896365,0.000832348980377109,0.0124716412760397,0.0059967910161179,0.00668456016157179,0.00828227054531249,0.00135286927729606,0.00269735108720051,0.00040861473653741,0.0347566609061998,0.0437085245324874,0.00436957977898652,0.00261955966357645,0.00526230127107836,0.13732060625284,0.108507331950874,0.00534201584867961,0.0850272421154985,0.0111310637828027,0.00403265104073709,0.00542189655247969,0.00408835870086448,0.00430517011800794,0.000869090152522636,0.0467805477916348,0.00385087202850392,0.00205833733917026,0.00157281125582954,0.00269124558717802,0.00261499879969423,0.0043515419202903,0.00172448746362864,0.0104533486934474,0.0250846107562165,0.142856156204845,0.062081413089051,0.00961538654983819,0.0118117627632421,0.0308256132381512,0.0197229884224444,0.00800272292087755,0.0049423984021025,0.0102441837300671,0.00399875975817528,0.00569973758017049,0.0103622042799526,0.00254924387752821,0.00454751631297975,0.0038662052977483,0.00566498639450713,0.0074613922749841,0.0032957007007179,0.00224239044782574,0.00233193277433828,0.00202995345803172,0.00390948349232394,0.0106653514936544,0.00887514535139452,0.00873352069153184,0.00264390483312776,0.00755674553089444,0.000638564765310758,0.00152565209456544
