"region","year_to_date_in","year_to_date_mm"
"Arecibo",70.3352209020544,1786.51461091218
"Bayamón",72.300797858605,1836.44026560857
"Caguas",74.0084134994015,1879.8137028848
"Fajardo",85.8056134068689,2179.46258053447
"Mayagüez",66.5529901673194,1690.44595024991
"Metro",73.9239745934804,1877.6689546744
"Ponce",55.0127620495186,1397.32415605777
