"date","region","rainfall_in","rainfall_mm"
2020-01-01,"Arecibo",0.190701855955944,4.84382714128099
2020-01-01,"Bayamón",0.271714111761405,6.90153843873968
2020-01-01,"Caguas",0.231076962735143,5.86935485347264
2020-01-01,"Fajardo",0.248123055237324,6.30232560302802
2020-01-01,"Mayagüez",0.580462596716825,14.7437499566074
2020-01-01,"Metro",0.128198818536475,3.25624999082647
2020-01-01,"Ponce",0.519330916384225,13.1910052761593
2020-01-02,"Arecibo",0.0435015070079653,1.10493827800232
2020-01-02,"Bayamón",0.0273773471896465,0.695384618617021
2020-01-02,"Caguas",0.168243585950545,4.27338708314384
2020-01-02,"Fajardo",0.342336565775927,8.69534877070854
2020-01-02,"Mayagüez",0.272145667532459,6.91249995532446
2020-01-02,"Metro",0.0684055124099056,1.7375000152116
2020-01-02,"Ponce",0.469170518692524,11.9169311747901
2020-01-03,"Arecibo",0.301910178425411,7.66851853200545
2020-01-03,"Bayamón",0.453543308606515,11.5200000386055
2020-01-03,"Caguas",0.357632714714254,9.08387095374205
2020-01-03,"Fajardo",0.692730264088442,17.5953487078464
2020-01-03,"Mayagüez",0.0316190948011354,0.803125007948838
2020-01-03,"Metro",0.53863188996911,13.6812500052154
2020-01-03,"Ponce",0.087176602777271,2.21428571054268
2020-01-04,"Arecibo",0.151234567751763,3.84135802089478
2020-01-04,"Bayamón",0.2837068433945,7.20615382222029
2020-01-04,"Caguas",0.364141477332,9.24919352423279
2020-01-04,"Fajardo",0.378776780697842,9.62093022972519
2020-01-04,"Mayagüez",0.0900098423706368,2.28624999621417
2020-01-04,"Metro",0.359826114960015,9.13958331998438
2020-01-04,"Ponce",0.159771695053057,4.05820105434765
2020-01-05,"Arecibo",0.0128560319864823,0.326543212456652
2020-01-05,"Bayamón",0.0195639007366621,0.496923078711216
2020-01-05,"Caguas",0.00174625350102302,0.0443548389259846
2020-01-05,"Fajardo",0.0122688152762346,0.31162790801636
2020-01-05,"Mayagüez",0.00371555117890239,0.0943749999441206
2020-01-05,"Metro",0.0154199475267281,0.391666667178894
2020-01-05,"Ponce",0.00247885684960734,0.0629629639800263
2020-01-06,"Arecibo",0.114100321058046,2.89814815487437
2020-01-06,"Bayamón",0.242095697986392,6.14923072885435
2020-01-06,"Caguas",0.12480949973988,3.17016129339294
2020-01-06,"Fajardo",0.298205456111667,7.57441858523634
2020-01-06,"Mayagüez",0.00976870086742565,0.248125002032612
2020-01-06,"Metro",0.367864173837006,9.34375001545996
2020-01-06,"Ponce",0.0191434404108102,0.486243386434578
2020-01-07,"Arecibo",0.245042286100395,6.22407406695003
2020-01-07,"Bayamón",0.405451240103978,10.298461498641
2020-01-07,"Caguas",0.348647445890932,8.85564512562968
2020-01-07,"Fajardo",0.180644568792263,4.58837204732347
2020-01-07,"Mayagüez",0.10174704719102,2.58437499865191
2020-01-07,"Metro",0.335465881197403,8.52083338241403
2020-01-07,"Ponce",0.193038369336772,4.903174581154
2020-01-08,"Arecibo",0.000267327694153344,0.00679012343149494
2020-01-08,"Bayamón",0.000605693516822962,0.0153846153273032
2020-01-08,"Caguas",0.0426403356175269,1.08306452468518
2020-01-08,"Fajardo",0.0263687973018996,0.669767451468249
2020-01-08,"Mayagüez",2.46062991209328e-05,0.000624999997671694
2020-01-08,"Metro",0.0114009187091142,0.289583335211501
2020-01-08,"Ponce",0.00577011214638198,0.146560848518102
2020-01-09,"Arecibo",0.253961309606646,6.45061726400882
2020-01-09,"Bayamón",0.2534827393408,6.43846157925633
2020-01-09,"Caguas",0.131445262926601,3.33870967833566
2020-01-09,"Fajardo",0.198315326557603,5.03720929456312
2020-01-09,"Mayagüez",0.0744586612912826,1.89124999679858
2020-01-09,"Metro",0.245488843647763,6.23541662865318
2020-01-09,"Ponce",0.091571886486635,2.32592591676053
2020-01-10,"Arecibo",0.417711672626068,10.6098764847021
2020-01-10,"Bayamón",0.50732888854467,12.8861537690346
2020-01-10,"Caguas",0.367506983659921,9.334677384962
2020-01-10,"Fajardo",0.36650796407877,9.30930228760076
2020-01-10,"Mayagüez",0.0497293309192173,1.26312500534812
2020-01-10,"Metro",0.505003282489876,12.8270833752428
2020-01-10,"Ponce",0.106465858077167,2.70423279516005
2020-01-11,"Arecibo",0.273038785329755,6.93518514737579
2020-01-11,"Bayamón",0.319745607674122,8.1215384349227
2020-01-11,"Caguas",0.319659639270075,8.1193548374599
2020-01-11,"Fajardo",0.201428309862697,5.1162790705125
2020-01-11,"Mayagüez",0.0404281493509188,1.02687499351334
2020-01-11,"Metro",0.197342519648373,5.01249999906868
2020-01-11,"Ponce",0.053326667577186,1.35449735646052
2020-01-12,"Arecibo",0.112885195106544,2.86728395570621
2020-01-12,"Bayamón",0.152029071977505,3.86153842822863
2020-01-12,"Caguas",0.233743968840328,5.93709680854433
2020-01-12,"Fajardo",0.355704081049839,9.0348836586659
2020-01-12,"Mayagüez",0.0078986220760271,0.200625000731088
2020-01-12,"Metro",0.316437006307145,8.03749996020148
2020-01-12,"Ponce",0.063742032057788,1.61904761426782
2020-01-13,"Arecibo",0.231773111681787,5.8870370367174
2020-01-13,"Bayamón",0.425802544447092,10.8153846289561
2020-01-13,"Caguas",0.560547369291946,14.2379031800154
2020-01-13,"Fajardo",0.782548985508985,19.8767442319282
2020-01-13,"Mayagüez",0.0747047242708504,1.8974999964796
2020-01-13,"Metro",0.662483596553405,16.8270833524565
2020-01-13,"Ponce",0.131796025754835,3.3476190541728
2020-01-14,"Arecibo",0.537693206025402,13.6574074330452
2020-01-14,"Bayamón",0.464869775107274,11.8076922877248
2020-01-14,"Caguas",0.305721361400379,7.76532257956963
2020-01-14,"Fajardo",0.5749862633299,14.6046510885794
2020-01-14,"Mayagüez",0.0827509838738479,2.10187499039574
2020-01-14,"Metro",0.609826112476488,15.4895832569028
2020-01-14,"Ponce",0.0516185479622985,1.31111111824238
