"region","hosp_832","hosp_835","hosp_844","hosp_846","hosp_847","hosp_848","hosp_851","hosp_853","hosp_2498","hosp_2499","hosp_2500","hosp_2502","hosp_2508","hosp_2511","hosp_2512","hosp_2514","hosp_2517","hosp_2536","hosp_4942","hosp_11","hosp_12","hosp_13","hosp_14","hosp_15","hosp_16","hosp_17","hosp_18","hosp_19","hosp_20","hosp_21","hosp_22","hosp_23","hosp_24","hosp_26","hosp_27","hosp_28","hosp_29","hosp_30","hosp_31","hosp_32","hosp_33","hosp_34","hosp_35","hosp_36","hosp_37","hosp_38","hosp_39","hosp_40","hosp_41","hosp_42","hosp_44","hosp_45","hosp_46","hosp_48","hosp_49","hosp_50","hosp_52","hosp_53","hosp_54","hosp_56","hosp_57","hosp_58","hosp_59","hosp_678"
"Arecibo",0.0112522491702868,0.0128911615140544,0.0138861313652338,0.00407701984625295,0.0042737655779977,0.00553966948621776,0.00485913343267057,0.000687736772814539,0.00219283586983278,0.00218288670103934,0.00257645507798972,0.00259703163275602,0.00790790135514343,0.00257439001628235,0.00257439001628235,0.00631872819866617,0.00616044573634263,0.00566832722174903,0.00642835823057468,0.0735507172921376,0.0922579836854449,0.108520068510382,0.0221117795889973,0.0756080100913585,0.0782452826642181,0.0589493032839532,0.0971824547037619,0.0125301153265459,0.012079531815194,0.00627578595530339,0.00646160918497533,0.00632738101053253,0.00627578595530339,0.00600418241065711,0.00231616483176464,0.00557480754895882,0.00564777949967548,0.0120896201035813,0.0180760724764041,0.00576503454364575,0.00377979255343187,0.00253175177340283,0.0128911615140544,0.0081552961583636,0.00808027525535831,0.00883931504886363,0.0081552961583636,0.0081552961583636,0.00853444504196717,0.0080800042375864,0.0081552961583636,0.00808718999516942,0.00736038465458371,0.0081552961583636,0.00890327564025401,0.0081552961583636,0.00808718999516942,0.00794810356400212,0.0081552961583636,0.0081552961583636,0.00853444504196717,0.00808718999516942,0.000427828721959782,0.00808718999516942
"Bayamón",0.106604990917897,0.0855807927467414,0.0807366972016858,0.00682453139987858,0.00760543143100138,0.00744785293752387,0.0155858400108184,0.00042695411965112,0.00173922817501191,0.00172810206354248,0.00304826807062136,0.00302352797458984,0.0227710415263432,0.00280041400622903,0.00280041400622903,0.00265043163946875,0.00263512776191734,0.000609104004701325,0.00115914344208688,0.00729234747070726,0.0026211985024485,0.00257958486751133,0.00127455527052991,0.00852765889835438,0.00814036721366039,0.00231179618251708,0.014223342201902,0.000805394464148988,0.000770506509120911,0.000600645300569813,0.000604965345896245,0.000614944398956587,0.000600645300569813,0.000756133942261751,0.00263890564670483,0.00234324883386027,0.00243077229736642,0.0762920918472242,0.0465046784285226,0.0220321174618691,0.00792301476336879,0.00272572021469653,0.0855807927467414,0.016925160433527,0.0151458800973729,0.0188377477106983,0.016925160433527,0.016925160433527,0.0172039521803433,0.015177177880166,0.016925160433527,0.018097122396435,0.0129475622453437,0.016925160433527,0.0246363454605426,0.016925160433527,0.018097122396435,0.014865678576515,0.016925160433527,0.016925160433527,0.0172039521803433,0.018097122396435,0.000218609069271063,0.018097122396435
"Caguas",0.00902672124696239,0.00784685342533586,0.00775881547849182,0.0976232711700298,0.126508877415219,0.01104004933268,0.0551743504620812,0.00106240850921193,0.00775875520877201,0.0083194775869614,0.00812474711753642,0.00758963176424786,0.0146910756780487,0.075509835010877,0.075509835010877,0.00205482624683971,0.00204590551305116,0.000564102743235926,0.00104286379814178,0.00211016931160521,0.00119397987410096,0.00118212168157494,0.000813425127929997,0.00228811096572816,0.00223747836710821,0.00102576906553321,0.00289650102070704,0.000534112410502926,0.000517043080409956,0.000536890832424192,0.000533738017072269,0.000549019040293542,0.000536890832424192,0.000709972090586323,0.00911418258586495,0.00186845727202098,0.00192315567586655,0.00844581523999343,0.00376475817466916,0.0442768297537054,0.0733680069586792,0.0781179815869542,0.00784685342533586,0.0126921203001321,0.00836444490958842,0.0111873730031895,0.0126921203001321,0.0126921203001321,0.00894667376108411,0.00965870135621231,0.0126921203001321,0.0129814988981185,0.0108343821627347,0.0126921203001321,0.012032892734579,0.0126921203001321,0.0129814988981185,0.0105416604620535,0.0126921203001321,0.0126921203001321,0.00894667376108411,0.0129814988981185,0.00038057474625162,0.0129814988981185
"Fajardo",0.00761529838928893,0.0081223529199508,0.00950843274741625,0.00948330177845977,0.0092541735805446,0.0359646886158828,0.00434792753921977,0.0613479559202965,0.201758566927634,0.226710612646442,0.00265612401279086,0.00257519019764229,0.0116532229339258,0.0149160472803954,0.0149160472803954,0.00125699201523101,0.00125350651452066,0.000493213228492631,0.000787519332580722,0.00254768861289097,0.00147779573970438,0.00146361669993252,0.000779670242113196,0.00275589558083361,0.0026982086063924,0.00110180049478653,0.00347841279572791,0.000675455488668588,0.000653526872692795,0.000499677968183279,0.000505109432120886,0.000507660373464643,0.000499677968183279,0.000588493407542582,0.00287292639183566,0.00118213510291802,0.00120455884430061,0.00843749068743163,0.00196462117697274,0.00273803904894474,0.00483229014389155,0.0153532103104087,0.0081223529199508,0.0152160764894711,0.0130703694502333,0.0147986449733183,0.0152160764894711,0.0152160764894711,0.0127205882222339,0.0152945384293801,0.0152160764894711,0.0139229079915452,0.0195820122663634,0.0152160764894711,0.0119336622328097,0.0152160764894711,0.0139229079915452,0.016218292707331,0.0152160764894711,0.0152160764894711,0.0127205882222339,0.0139229079915452,0.0146795708431448,0.0139229079915452
"Mayagüez",0.00240994449389416,0.00250197009057063,0.00254695949428748,0.00183487347819981,0.00187790456847305,0.00190216487679486,0.00194494302562979,0.000541209397092722,0.0011698884097465,0.00116659610675323,0.00193956228249304,0.00196066552128293,0.00217285054135145,0.00137789977507934,0.00137789977507934,0.00559258480719739,0.00566873691454836,0.100436703022152,0.0239937499914129,0.00555791739626286,0.0115545354579482,0.0121121565201652,0.0185407518596553,0.00529869357565863,0.00541257759649668,0.00945442051335179,0.00412805011973083,0.137382415619408,0.126243557669006,0.083755183989923,0.076657610634457,0.0734334991856995,0.083755183989923,0.112215504194436,0.00176376905803456,0.00638383903699818,0.00611545865599329,0.0024607065497553,0.00308597420021454,0.00226757897854473,0.00198452587842428,0.00136393333673744,0.00250197009057063,0.00219040439296828,0.0021707088538564,0.00224150528952818,0.00219040439296828,0.00219040439296828,0.00221240678567253,0.00217287443588484,0.00219040439296828,0.00218572359455431,0.0021096244066695,0.00219040439296828,0.00224726975046011,0.00219040439296828,0.00218572359455431,0.0021631529100355,0.00219040439296828,0.00219040439296828,0.00221240678567253,0.00218572359455431,0.000357000580822516,0.00218572359455431
"Metro",0.0112220211409188,0.00925244274020211,0.0118753815013541,0.00633236729222595,0.00692218565151068,0.0930441125022245,0.00223481736251286,0.000268854770013544,0.00306685842997683,0.00302394133232156,0.000943128171686589,0.000917268047720271,0.0448695523324243,0.00333712814181252,0.00333712814181252,0.0004116975334028,0.000410344358493517,0.000145260559117137,0.000238999965591176,0.00106284015020894,0.000527818339436364,0.000521572561742216,0.000245313433898076,0.00118235296755126,0.00114870659714835,0.000369448027417522,0.00164051947072471,0.00020830560917802,0.000200565456409533,0.000147237170149835,0.000149067643220411,0.000149890311185186,0.000147237170149835,0.000172174841063297,0.000924846040556664,0.00038286547361261,0.000391451642118075,0.0115295087815567,0.0008037798293721,0.00123233677462959,0.00235133692625564,0.00317954281279963,0.00925244274020211,0.035357690838131,0.0427865627564778,0.03848725231897,0.035357690838131,0.035357690838131,0.0384584590005713,0.0414709703658593,0.035357690838131,0.0305765248710685,0.0719611744880328,0.035357690838131,0.0416762283501588,0.035357690838131,0.0305765248710685,0.0416333579196798,0.035357690838131,0.035357690838131,0.0384584590005713,0.0305765248710685,0.000125258864448929,0.0305765248710685
"Ponce",0.00451122924333641,0.00432240162919084,0.00413706766640912,0.00733754189187076,0.00783058639678876,0.00365251694888676,0.0105676049256436,0.000751097159814914,0.00188593078021473,0.00189032628294872,0.0473760060933845,0.0476379511726654,0.00447964722029443,0.00392615379048816,0.00392615379048816,0.10454306639626,0.10236463004803,0.00497851118682187,0.103427278969497,0.00579685456260764,0.00559844597307283,0.00552324026451032,0.0225486723908354,0.00552409440424773,0.0055809552670891,0.0194856281807181,0.00490093882415436,0.00236768054978912,0.00261979993952544,0.00443857335478123,0.00440362585729793,0.00469506091938915,0.00443857335478123,0.0100616365624833,0.0516673640772544,0.116071407310255,0.104223222458359,0.00431548114023738,0.0175588737668547,0.0205194783565489,0.0167970852399648,0.00384435336708846,0.00432240162919084,0.00425143547417037,0.00371499004206551,0.00411618924824726,0.00425143547417037,0.00425143547417037,0.00383067939577778,0.00388146885760421,0.00425143547417037,0.00429417138051205,0.00395996515759768,0.00425143547417037,0.0042608789302187,0.00425143547417037,0.00429417138051205,0.00398433836518425,0.00425143547417037,0.00425143547417037,0.00383067939577778,0.00429417138051205,0.000383491948045468,0.00429417138051205
